,heartrate
2023-03-06 06:22:00,63.0
2023-03-06 06:24:00,65.0
2023-03-06 06:26:00,66.0
2023-03-06 06:28:00,59.0
2023-03-06 06:30:00,73.0
2023-03-06 06:32:00,59.0
2023-03-06 06:34:00,61.0
2023-03-06 06:36:00,61.0
2023-03-06 06:38:00,66.0
2023-03-06 06:40:00,80.0
2023-03-06 06:42:00,56.0
2023-03-06 06:44:00,51.0
2023-03-06 06:46:00,52.0
2023-03-06 06:48:00,53.0
2023-03-06 06:50:00,52.0
2023-03-06 06:52:00,51.0
2023-03-06 06:54:00,52.0
2023-03-06 06:56:00,53.0
2023-03-06 06:58:00,55.0
2023-03-06 07:00:00,54.0
2023-03-06 07:02:00,55.0
2023-03-06 07:04:00,70.0
2023-03-06 07:06:00,61.0
2023-03-06 07:08:00,52.0
2023-03-06 07:10:00,51.0
2023-03-06 07:12:00,53.0
2023-03-06 07:14:00,52.0
2023-03-06 07:16:00,54.0
2023-03-06 07:18:00,54.0
2023-03-06 07:20:00,54.0
2023-03-06 07:22:00,55.0
2023-03-06 07:24:00,61.0
2023-03-06 07:26:00,57.0
2023-03-06 07:28:00,52.0
2023-03-06 07:30:00,53.0
2023-03-06 07:32:00,51.0
2023-03-06 07:34:00,51.0
2023-03-06 07:36:00,52.0
2023-03-06 07:38:00,52.0
2023-03-06 07:40:00,51.0
2023-03-06 07:42:00,52.0
2023-03-06 07:44:00,52.0
2023-03-06 07:46:00,51.0
2023-03-06 07:48:00,51.0
2023-03-06 07:50:00,52.0
2023-03-06 07:52:00,50.0
2023-03-06 07:54:00,50.0
2023-03-06 07:56:00,50.0
2023-03-06 07:58:00,50.0
2023-03-06 08:00:00,50.0
2023-03-06 08:02:00,50.0
2023-03-06 08:04:00,51.0
2023-03-06 08:06:00,52.0
2023-03-06 08:08:00,52.0
2023-03-06 08:10:00,52.0
2023-03-06 08:12:00,51.0
2023-03-06 08:14:00,52.0
2023-03-06 08:16:00,52.0
2023-03-06 08:18:00,52.0
2023-03-06 08:20:00,51.0
2023-03-06 08:22:00,50.0
2023-03-06 08:24:00,51.0
2023-03-06 08:26:00,53.0
2023-03-06 08:28:00,53.0
2023-03-06 08:30:00,53.0
2023-03-06 08:32:00,53.0
2023-03-06 08:34:00,51.0
2023-03-06 08:36:00,52.0
2023-03-06 08:38:00,52.0
2023-03-06 08:40:00,52.0
2023-03-06 08:42:00,51.0
2023-03-06 08:44:00,51.0
2023-03-06 08:46:00,51.0
2023-03-06 08:48:00,50.0
2023-03-06 08:50:00,51.0
2023-03-06 08:52:00,51.0
2023-03-06 08:54:00,51.0
2023-03-06 08:56:00,50.0
2023-03-06 08:58:00,51.0
2023-03-06 09:00:00,51.0
2023-03-06 09:02:00,51.0
2023-03-06 09:04:00,50.0
2023-03-06 09:06:00,52.0
2023-03-06 09:08:00,52.0
2023-03-06 09:10:00,50.0
2023-03-06 09:12:00,56.0
2023-03-06 09:14:00,51.0
2023-03-06 09:16:00,51.0
2023-03-06 09:18:00,52.0
2023-03-06 09:20:00,51.0
2023-03-06 09:22:00,55.0
2023-03-06 09:24:00,53.0
2023-03-06 09:26:00,53.0
2023-03-06 09:28:00,52.0
2023-03-06 09:30:00,52.0
2023-03-06 09:32:00,52.0
2023-03-06 09:34:00,53.0
2023-03-06 09:36:00,51.0
2023-03-06 09:38:00,49.0
2023-03-06 09:40:00,50.0
2023-03-06 09:42:00,53.0
2023-03-06 09:44:00,52.0
2023-03-06 09:46:00,48.0
2023-03-06 09:48:00,48.0
2023-03-06 09:50:00,47.0
2023-03-06 09:52:00,48.0
2023-03-06 09:54:00,49.0
2023-03-06 09:56:00,48.0
2023-03-06 09:58:00,49.0
2023-03-06 10:00:00,49.0
2023-03-06 10:02:00,52.0
2023-03-06 10:04:00,53.0
2023-03-06 10:06:00,50.0
2023-03-06 10:08:00,51.0
2023-03-06 10:10:00,52.0
2023-03-06 10:12:00,50.0
2023-03-06 10:14:00,50.0
2023-03-06 10:16:00,50.0
2023-03-06 10:18:00,52.0
2023-03-06 10:20:00,52.0
2023-03-06 10:22:00,53.0
2023-03-06 10:24:00,51.0
2023-03-06 10:26:00,52.0
2023-03-06 10:28:00,53.0
2023-03-06 10:30:00,49.0
2023-03-06 10:32:00,49.0
2023-03-06 10:34:00,49.0
2023-03-06 10:36:00,50.0
2023-03-06 10:38:00,53.0
2023-03-06 10:40:00,50.0
2023-03-06 10:42:00,48.0
2023-03-06 10:44:00,49.0
2023-03-06 10:46:00,50.0
2023-03-06 10:48:00,49.0
2023-03-06 10:50:00,49.0
2023-03-06 10:52:00,50.0
2023-03-06 10:54:00,50.0
2023-03-06 10:56:00,50.0
2023-03-06 10:58:00,52.0
2023-03-06 11:00:00,51.0
2023-03-06 11:02:00,53.0
2023-03-06 11:04:00,52.0
2023-03-06 11:06:00,52.0
2023-03-06 11:08:00,52.0
2023-03-06 11:10:00,52.0
2023-03-06 11:12:00,51.0
2023-03-06 11:14:00,64.0
2023-03-06 11:16:00,60.0
2023-03-06 11:18:00,56.0
2023-03-06 11:20:00,61.0
2023-03-06 11:22:00,59.0
2023-03-06 11:24:00,76.0
2023-03-06 11:26:00,73.0
2023-03-06 11:28:00,68.0
2023-03-06 11:30:00,60.0
2023-03-06 11:32:00,55.0
2023-03-06 11:34:00,50.0
2023-03-06 11:36:00,53.0
2023-03-06 11:38:00,53.0
2023-03-06 11:40:00,53.0
2023-03-06 11:42:00,54.0
2023-03-06 11:44:00,54.0
